Segments processed: 2800, loss: 2.26986033891, pos_prec: 96.3383838384, class_prec: 100.0, rough pos prec: 97.3484848485
Segments processed: 2850, loss: 0.56117881573, pos_prec: 96.4242424242, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 2900, loss: 1.73741238277, pos_prec: 95.715755438, class_prec: 100.0, rough pos prec: 96.1787184009
Segments processed: 2950, loss: 0.525436101653, pos_prec: 98.1666666667, class_prec: 100.0, rough pos prec: 98.1666666667
Segments processed: 3000, loss: 0.132443758819, pos_prec: 99.6875, class_prec: 100.0, rough pos prec: 99.6875
Segments processed: 3050, loss: 0.140669234742, pos_prec: 98.9473684211, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 3100, loss: 0.439111049137, pos_prec: 98.7121212121, class_prec: 100.0, rough pos prec: 99.0909090909
Segments processed: 3150, loss: 0.453647295329, pos_prec: 97.3076923077, class_prec: 100.0, rough pos prec: 98.0769230769
Segments processed: 3200, loss: 0.684251725608, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 3250, loss: 0.238683643782, pos_prec: 99.3788819876, class_prec: 100.0, rough pos prec: 99.3788819876
Segments processed: 3300, loss: 2.08132334594, pos_prec: 97.6137955182, class_prec: 100.0, rough pos prec: 98.0339635854
Segments processed: 3350, loss: 1.10465194868, pos_prec: 97.2222222222, class_prec: 100.0, rough pos prec: 97.2222222222
Segments processed: 3400, loss: 0.58044955396, pos_prec: 98.9130434783, class_prec: 100.0, rough pos prec: 98.9130434783
Segments processed: 3450, loss: 0.280544488996, pos_prec: 99.1596638655, class_prec: 100.0, rough pos prec: 99.1596638655
Segments processed: 3500, loss: 0.327317879416, pos_prec: 98.6111111111, class_prec: 100.0, rough pos prec: 98.6111111111
Segments processed: 3550, loss: 0.363989448162, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 3600, loss: 0.695372611309, pos_prec: 98.4210526316, class_prec: 100.0, rough pos prec: 98.4210526316
Segments processed: 3650, loss: 1.29605238733, pos_prec: 92.735042735, class_prec: 100.0, rough pos prec: 94.7916666667
Segments processed: 3700, loss: 0.620142256319, pos_prec: 96.2121212121, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 3750, loss: 0.87199545772, pos_prec: 95.5128205128, class_prec: 100.0, rough pos prec: 95.5128205128
Segments processed: 3800, loss: 0.467776788345, pos_prec: 93.75, class_prec: 100.0, rough pos prec: 93.75
Segments processed: 3850, loss: 1.16151894537, pos_prec: 93.3333333333, class_prec: 100.0, rough pos prec: 95.625
Segments processed: 3900, loss: 0.344194865729, pos_prec: 98.6507936508, class_prec: 100.0, rough pos prec: 98.6507936508
Segments processed: 3950, loss: 0.522698321979, pos_prec: 99.0, class_prec: 100.0, rough pos prec: 99.0
Segments processed: 4000, loss: 1.78734339906, pos_prec: 96.0606060606, class_prec: 100.0, rough pos prec: 96.0606060606
Segments processed: 4050, loss: 0.981061515944, pos_prec: 94.6666666667, class_prec: 100.0, rough pos prec: 96.0
Segments processed: 4100, loss: 1.69563514535, pos_prec: 96.2337662338, class_prec: 100.0, rough pos prec: 96.6666666667
Segments processed: 4150, loss: 0.782383085286, pos_prec: 98.8888888889, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 4200, loss: 1.21961985618, pos_prec: 98.5714285714, class_prec: 100.0, rough pos prec: 99.2857142857
Segments processed: 4250, loss: 1.40252446319, pos_prec: 95.6565656566, class_prec: 100.0, rough pos prec: 97.9292929293
Segments processed: 4300, loss: 0.238157090907, pos_prec: 98.4375, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 4350, loss: 1.40708196029, pos_prec: 98.6111111111, class_prec: 100.0, rough pos prec: 98.6111111111
Segments processed: 4400, loss: 1.39816316205, pos_prec: 93.7198067633, class_prec: 100.0, rough pos prec: 94.2028985507
Segments processed: 4450, loss: 0.117017452592, pos_prec: 98.7012987013, class_prec: 100.0, rough pos prec: 99.3506493506
Segments processed: 4500, loss: 1.28409584254, pos_prec: 97.503030303, class_prec: 100.0, rough pos prec: 97.8666666667
Segments processed: 4550, loss: 0.0812817158388, pos_prec: 99.2, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 4600, loss: 0.21461973051, pos_prec: 98.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 4650, loss: 1.886636776, pos_prec: 98.2905982906, class_prec: 100.0, rough pos prec: 98.6111111111
Segments processed: 4700, loss: 0.000452074174167, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 4750, loss: 0.363841767763, pos_prec: 99.0593768372, class_prec: 100.0, rough pos prec: 99.5884773663
Segments processed: 4800, loss: 0.0485526357143, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 4850, loss: 0.681383344635, pos_prec: 97.5862068966, class_prec: 100.0, rough pos prec: 97.5862068966
Segments processed: 4900, loss: 1.7579212036, pos_prec: 98.0, class_prec: 100.0, rough pos prec: 98.0
Segments processed: 4950, loss: 0.481032064606, pos_prec: 98.4848484848, class_prec: 100.0, rough pos prec: 98.4848484848
Segments processed: 5000, loss: 1.83019550597, pos_prec: 95.4861111111, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 5050, loss: 0.484380860021, pos_prec: 92.0289855072, class_prec: 100.0, rough pos prec: 92.0289855072
Segments processed: 5100, loss: 1.18717670535, pos_prec: 93.9393939394, class_prec: 100.0, rough pos prec: 93.9393939394
Segments processed: 5150, loss: 1.1825584762, pos_prec: 96.5277777778, class_prec: 100.0, rough pos prec: 96.5277777778
Segments processed: 5200, loss: 0.891041617889, pos_prec: 96.0526315789, class_prec: 100.0, rough pos prec: 98.6842105263
Segments processed: 5250, loss: 0.789583517244, pos_prec: 95.5639097744, class_prec: 100.0, rough pos prec: 98.1954887218
Segments processed: 5300, loss: 1.11881435582, pos_prec: 86.9047619048, class_prec: 100.0, rough pos prec: 91.9047619048
Segments processed: 5350, loss: 0.176910325569, pos_prec: 98.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 5400, loss: 0.18250551683, pos_prec: 98.9473684211, class_prec: 100.0, rough pos prec: 98.9473684211
Segments processed: 5450, loss: 1.26555324506, pos_prec: 97.3076923077, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 5500, loss: 1.17298108579, pos_prec: 99.4047619048, class_prec: 100.0, rough pos prec: 99.4047619048
Segments processed: 5550, loss: 0.924198622775, pos_prec: 95.8333333333, class_prec: 100.0, rough pos prec: 98.3333333333
Segments processed: 5600, loss: 1.04215962763, pos_prec: 95.2, class_prec: 100.0, rough pos prec: 95.2
Segments processed: 5650, loss: 0.199794071621, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 5700, loss: 0.435430889268, pos_prec: 98.0701754386, class_prec: 100.0, rough pos prec: 99.1228070175
Segments processed: 5750, loss: 0.278635054122, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 5800, loss: 1.46850251427, pos_prec: 98.5507246377, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 5850, loss: 0.612953001718, pos_prec: 98.2608695652, class_prec: 100.0, rough pos prec: 98.2608695652
Segments processed: 5900, loss: 0.82145579586, pos_prec: 98.6666666667, class_prec: 100.0, rough pos prec: 98.6666666667
Segments processed: 5950, loss: 0.19561991366, pos_prec: 99.3197278912, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6000, loss: 0.454819098106, pos_prec: 98.2456140351, class_prec: 100.0, rough pos prec: 98.2456140351
Segments processed: 6050, loss: 1.24754279255, pos_prec: 88.4615384615, class_prec: 100.0, rough pos prec: 96.1538461538
Segments processed: 6100, loss: 0.8549243801, pos_prec: 97.4603174603, class_prec: 100.0, rough pos prec: 97.4603174603
Segments processed: 6150, loss: 0.00805580910646, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6200, loss: 0.664145006197, pos_prec: 94.5652173913, class_prec: 100.0, rough pos prec: 98.9130434783
Segments processed: 6250, loss: 0.482811132943, pos_prec: 96.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6300, loss: 0.286048835251, pos_prec: 98.2456140351, class_prec: 100.0, rough pos prec: 98.2456140351
Segments processed: 6350, loss: 1.7801585885, pos_prec: 97.8418803419, class_prec: 100.0, rough pos prec: 99.0384615385
Segments processed: 6400, loss: 0.141744291459, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6450, loss: 0.818750675333, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6500, loss: 1.31372765135, pos_prec: 98.3974358974, class_prec: 100.0, rough pos prec: 99.358974359
Segments processed: 6550, loss: 0.0196693645622, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6600, loss: 1.31764705295, pos_prec: 96.4130434783, class_prec: 100.0, rough pos prec: 98.5869565217
Segments processed: 6650, loss: 1.42850594174, pos_prec: 98.5576923077, class_prec: 100.0, rough pos prec: 99.0384615385
Segments processed: 6700, loss: 0.0768324690867, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6750, loss: 1.50061346406, pos_prec: 97.3214285714, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 6800, loss: 5.32157266549, pos_prec: 92.9885057471, class_prec: 100.0, rough pos prec: 94.8275862069
Segments processed: 6850, loss: 1.12223800603, pos_prec: 98.2804232804, class_prec: 100.0, rough pos prec: 98.8095238095
Segments processed: 6900, loss: 0.658515823508, pos_prec: 96.2962962963, class_prec: 100.0, rough pos prec: 97.5308641975
Segments processed: 6950, loss: 2.81902914878, pos_prec: 97.8285714286, class_prec: 100.0, rough pos prec: 99.4285714286
Segments processed: 7000, loss: 0.842974895392, pos_prec: 97.5, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 7050, loss: 0.276899749484, pos_prec: 99.2481203008, class_prec: 100.0, rough pos prec: 99.2481203008
Segments processed: 7100, loss: 1.14070828008, pos_prec: 94.9777777778, class_prec: 100.0, rough pos prec: 99.2
Segments processed: 7150, loss: 1.95066970519, pos_prec: 98.4, class_prec: 100.0, rough pos prec: 98.4
Segments processed: 7200, loss: 0.570871558188, pos_prec: 99.2063492063, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 7250, loss: 1.86008008145, pos_prec: 95.3571428571, class_prec: 100.0, rough pos prec: 98.5714285714
Segments processed: 7300, loss: 1.89843443459, pos_prec: 99.0476190476, class_prec: 100.0, rough pos prec: 99.0476190476
Segments processed: 7350, loss: 0.304664446022, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 7400, loss: 1.15107524464, pos_prec: 97.5170068027, class_prec: 100.0, rough pos prec: 99.6598639456
Segments processed: 7450, loss: 1.69371340413, pos_prec: 94.5175438596, class_prec: 100.0, rough pos prec: 95.1754385965
Segments processed: 7500, loss: 1.97566292238, pos_prec: 94.708994709, class_prec: 100.0, rough pos prec: 98.4126984127
Segments processed: 7550, loss: 1.25626697001, pos_prec: 95.9770114943, class_prec: 100.0, rough pos prec: 96.5517241379
Segments processed: 7600, loss: 1.33687468475, pos_prec: 93.8034188034, class_prec: 100.0, rough pos prec: 98.0769230769
Segments processed: 7650, loss: 1.37585307759, pos_prec: 95.3125, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 7700, loss: 0.464765532104, pos_prec: 94.4444444444, class_prec: 100.0, rough pos prec: 94.4444444444
Segments processed: 7750, loss: 2.97551246066, pos_prec: 93.7333333333, class_prec: 100.0, rough pos prec: 96.6666666667
Segments processed: 7800, loss: 0.71290379696, pos_prec: 98.0434782609, class_prec: 100.0, rough pos prec: 99.1304347826
Segments processed: 7850, loss: 1.02072571713, pos_prec: 98.6842105263, class_prec: 100.0, rough pos prec: 98.6842105263
Segments processed: 7900, loss: 1.80613365239, pos_prec: 96.0, class_prec: 100.0, rough pos prec: 98.0
Segments processed: 7950, loss: 0.220740367227, pos_prec: 94.7368421053, class_prec: 100.0, rough pos prec: 94.7368421053
Segments processed: 8000, loss: 0.869157321467, pos_prec: 94.5767195767, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 8050, loss: 1.21767498238, pos_prec: 95.873015873, class_prec: 100.0, rough pos prec: 95.873015873
Segments processed: 8100, loss: 1.14198901977, pos_prec: 93.75, class_prec: 100.0, rough pos prec: 93.75
Segments processed: 8150, loss: 0.727465262464, pos_prec: 98.0158730159, class_prec: 100.0, rough pos prec: 98.0158730159
Segments processed: 8200, loss: 0.71052410383, pos_prec: 94.5175438596, class_prec: 100.0, rough pos prec: 96.4912280702
Segments processed: 8250, loss: 1.71897478241, pos_prec: 97.2222222222, class_prec: 100.0, rough pos prec: 97.2222222222
Segments processed: 8300, loss: 1.4697177581, pos_prec: 94.5578231293, class_prec: 100.0, rough pos prec: 94.5578231293
Segments processed: 8350, loss: 0.8290257953, pos_prec: 97.6449275362, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 8400, loss: 0.926818005175, pos_prec: 97.8260869565, class_prec: 100.0, rough pos prec: 98.9130434783
Segments processed: 8450, loss: 2.27729529609, pos_prec: 98.0902777778, class_prec: 100.0, rough pos prec: 98.0902777778
Segments processed: 8500, loss: 1.36362491279, pos_prec: 99.0231990232, class_prec: 100.0, rough pos prec: 99.0231990232
Segments processed: 8550, loss: 1.00891018067, pos_prec: 98.9583333333, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 8600, loss: 1.09394267911, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 8650, loss: 0.450711997088, pos_prec: 96.1538461538, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 8700, loss: 0.263285410521, pos_prec: 99.3333333333, class_prec: 100.0, rough pos prec: 99.3333333333
Segments processed: 8750, loss: 2.49098972195, pos_prec: 97.7, class_prec: 100.0, rough pos prec: 98.7
Segments processed: 8800, loss: 1.01418932875, pos_prec: 95.0617283951, class_prec: 100.0, rough pos prec: 95.0617283951
Segments processed: 8850, loss: 2.58167173789, pos_prec: 89.8550724638, class_prec: 100.0, rough pos prec: 92.7536231884
Segments processed: 8900, loss: 0.00196076686394, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 8950, loss: 1.13357005798, pos_prec: 98.0545454545, class_prec: 100.0, rough pos prec: 99.6363636364
Segments processed: 9000, loss: 4.03940561836, pos_prec: 93.125, class_prec: 100.0, rough pos prec: 94.7916666667
Segments processed: 9050, loss: 2.01985917655, pos_prec: 92.380952381, class_prec: 100.0, rough pos prec: 92.380952381
Segments processed: 9100, loss: 0.938374965856, pos_prec: 96.0802469136, class_prec: 100.0, rough pos prec: 99.012345679
Segments processed: 9150, loss: 1.04258550492, pos_prec: 97.0238095238, class_prec: 100.0, rough pos prec: 97.9166666667
Segments processed: 9200, loss: 1.10386635369, pos_prec: 90.1041666667, class_prec: 100.0, rough pos prec: 90.1041666667
Segments processed: 9250, loss: 2.2813075871, pos_prec: 97.9464285714, class_prec: 100.0, rough pos prec: 97.9464285714
Segments processed: 9300, loss: 0.135278758879, pos_prec: 95.4545454545, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 9350, loss: 1.56954056466, pos_prec: 94.0476190476, class_prec: 100.0, rough pos prec: 95.2380952381
Segments processed: 9400, loss: 1.15545518042, pos_prec: 95.6296296296, class_prec: 100.0, rough pos prec: 95.6296296296
Segments processed: 9450, loss: 0.171863933913, pos_prec: 99.5670995671, class_prec: 100.0, rough pos prec: 99.5670995671
Segments processed: 9500, loss: 2.34460983947, pos_prec: 90.4761904762, class_prec: 100.0, rough pos prec: 90.4761904762
Segments processed: 9550, loss: 0.482127628701, pos_prec: 94.7368421053, class_prec: 100.0, rough pos prec: 94.7368421053
Segments processed: 9600, loss: 1.32376879977, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 9650, loss: 0.552218864684, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 9700, loss: 1.30470819982, pos_prec: 99.5454545455, class_prec: 100.0, rough pos prec: 99.5454545455
Segments processed: 9750, loss: 0.744441285935, pos_prec: 98.2608695652, class_prec: 100.0, rough pos prec: 99.1304347826
Segments processed: 9800, loss: 1.33714016438, pos_prec: 97.5793650794, class_prec: 100.0, rough pos prec: 98.1746031746
Segments processed: 9850, loss: 1.20133422375, pos_prec: 98.1481481481, class_prec: 100.0, rough pos prec: 98.1481481481
Segments processed: 9900, loss: 0.451678025684, pos_prec: 97.0588235294, class_prec: 100.0, rough pos prec: 97.0588235294
Segments processed: 9950, loss: 1.63016898142, pos_prec: 96.8803418803, class_prec: 100.0, rough pos prec: 99.5726495726
Segments processed: 10000, loss: 0.890046204257, pos_prec: 97.3684210526, class_prec: 100.0, rough pos prec: 97.3684210526
Segments processed: 10050, loss: 0.372436095499, pos_prec: 95.4545454545, class_prec: 100.0, rough pos prec: 95.4545454545
Segments processed: 10100, loss: 0.356684731862, pos_prec: 98.2905982906, class_prec: 100.0, rough pos prec: 98.7179487179
Segments processed: 10150, loss: 3.60667206234, pos_prec: 88.7731481481, class_prec: 100.0, rough pos prec: 91.5509259259
Segments processed: 10200, loss: 2.07053109443, pos_prec: 97.4537037037, class_prec: 100.0, rough pos prec: 97.4537037037
Segments processed: 10250, loss: 0.69947162599, pos_prec: 99.1666666667, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 10300, loss: 0.67783947226, pos_prec: 98.9583333333, class_prec: 100.0, rough pos prec: 98.9583333333
Segments processed: 10350, loss: 0.0148163116243, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 10400, loss: 0.721234717323, pos_prec: 95.0980392157, class_prec: 100.0, rough pos prec: 95.0980392157
Segments processed: 10450, loss: 2.75907659862, pos_prec: 97.037037037, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 10500, loss: 0.840074315075, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 10550, loss: 0.793494604934, pos_prec: 99.1666666667, class_prec: 100.0, rough pos prec: 99.1666666667
Segments processed: 10600, loss: 0.922515221052, pos_prec: 91.6666666667, class_prec: 100.0, rough pos prec: 98.6111111111
Segments processed: 10650, loss: 1.39945300525, pos_prec: 98.3974358974, class_prec: 100.0, rough pos prec: 98.3974358974
Segments processed: 10700, loss: 0.329884828645, pos_prec: 96.6666666667, class_prec: 100.0, rough pos prec: 98.3333333333
Segments processed: 10750, loss: 1.24476635108, pos_prec: 96.2857142857, class_prec: 100.0, rough pos prec: 96.2857142857
Segments processed: 10800, loss: 1.00684883198, pos_prec: 99.537037037, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 10850, loss: 0.1392354514, pos_prec: 94.7368421053, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 10900, loss: 0.788387965152, pos_prec: 99.3506493506, class_prec: 100.0, rough pos prec: 99.3506493506
Segments processed: 10950, loss: 1.95618324521, pos_prec: 97.2222222222, class_prec: 100.0, rough pos prec: 97.2222222222
Segments processed: 11000, loss: 1.20936690372, pos_prec: 96.6666666667, class_prec: 100.0, rough pos prec: 98.3333333333
Segments processed: 11050, loss: 0.769723005939, pos_prec: 99.3197278912, class_prec: 100.0, rough pos prec: 99.3197278912
Segments processed: 11100, loss: 0.914142653224, pos_prec: 98.2456140351, class_prec: 100.0, rough pos prec: 98.2456140351
Segments processed: 11150, loss: 0.141694801962, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 11200, loss: 0.254418852802, pos_prec: 99.0, class_prec: 100.0, rough pos prec: 99.0
Segments processed: 11250, loss: 0.408600448153, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 11300, loss: 0.437023454515, pos_prec: 98.2638888889, class_prec: 100.0, rough pos prec: 99.3055555556
Segments processed: 11350, loss: 0.693591300213, pos_prec: 98.7012987013, class_prec: 100.0, rough pos prec: 99.3506493506
Segments processed: 11400, loss: 1.92804890285, pos_prec: 95.8101851852, class_prec: 100.0, rough pos prec: 97.8935185185
Segments processed: 11450, loss: 1.97661011239, pos_prec: 94.8412698413, class_prec: 100.0, rough pos prec: 97.2222222222
Segments processed: 11500, loss: 0.923327059745, pos_prec: 94.0, class_prec: 100.0, rough pos prec: 94.0
Segments processed: 11550, loss: 2.64927610059, pos_prec: 89.7777777778, class_prec: 100.0, rough pos prec: 95.5555555556
Segments processed: 11600, loss: 1.54932015669, pos_prec: 96.4912280702, class_prec: 100.0, rough pos prec: 96.4912280702
Segments processed: 11650, loss: 1.67248860428, pos_prec: 90.8695652174, class_prec: 100.0, rough pos prec: 93.9130434783
Segments processed: 11700, loss: 0.248430520347, pos_prec: 98.0392156863, class_prec: 100.0, rough pos prec: 98.0392156863
Segments processed: 11750, loss: 0.0329496116381, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 11800, loss: 0.0447565179891, pos_prec: 94.1176470588, class_prec: 100.0, rough pos prec: 94.1176470588
Segments processed: 11850, loss: 0.765586226506, pos_prec: 99.1071428571, class_prec: 100.0, rough pos prec: 99.1071428571
Segments processed: 11900, loss: 2.0638393939, pos_prec: 90.6378600823, class_prec: 100.0, rough pos prec: 95.0617283951
Segments processed: 11950, loss: 2.64651853139, pos_prec: 99.1555555556, class_prec: 100.0, rough pos prec: 99.1555555556
Segments processed: 12000, loss: 0.532042750238, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 12050, loss: 1.86581875845, pos_prec: 98.0952380952, class_prec: 100.0, rough pos prec: 100.0
